Datetime,Collection_Slug,Floor_Price
26/12/2021 00:40,boredapeyachtclub,55.95
26/12/2021 00:40,adidasoriginals,1.47
26/12/2021 00:40,veefriends,7.9
26/12/2021 00:40,derace-ticket,2.74
26/12/2021 00:40,zed-run-official,0.009899
26/12/2021 00:40,derace-horses,0.795
27/12/2021 01:30,bigtime-founders,0.267
26/12/2021 00:50,slotienft,0.4
26/12/2021 00:50,billionairezombiesclub,0.074999
26/12/2021 00:50,boredapeyachtclub,55.95
26/12/2021 00:50,adidasoriginals,1.47
26/12/2021 00:50,veefriends,9.0
26/12/2021 00:50,derace-ticket,2.74
26/12/2021 00:50,zed-run-official,0.009899
26/12/2021 00:50,derace-horses,0.795
27/12/2021 01:40,bigtime-founders,0.267
26/12/2021 01:00,slotienft,0.4345
26/12/2021 01:00,billionairezombiesclub,0.074999
26/12/2021 01:00,boredapeyachtclub,55.95
26/12/2021 01:00,adidasoriginals,0.733
26/12/2021 01:00,veefriends,9.0
26/12/2021 01:00,derace-ticket,2.74
26/12/2021 01:00,zed-run-official,0.009899
26/12/2021 01:00,derace-horses,0.795
27/12/2021 02:00,bigtime-founders,0.267
26/12/2021 01:10,slotienft,0.4345
26/12/2021 01:10,billionairezombiesclub,0.074999
26/12/2021 01:10,boredapeyachtclub,55.95
26/12/2021 01:10,adidasoriginals,0.72
26/12/2021 01:10,veefriends,9.0
26/12/2021 01:10,derace-ticket,2.74
26/12/2021 01:10,zed-run-official,0.009899
26/12/2021 01:10,derace-horses,0.795
27/12/2021 02:20,bigtime-founders,0.267
26/12/2021 01:30,slotienft,0.435
26/12/2021 01:30,billionairezombiesclub,0.074999
26/12/2021 01:30,boredapeyachtclub,55.95
26/12/2021 01:30,adidasoriginals,0.725
26/12/2021 01:30,veefriends,9.0
26/12/2021 01:30,derace-ticket,2.74
26/12/2021 01:30,zed-run-official,0.00979
26/12/2021 01:30,derace-horses,0.795
27/12/2021 02:30,bigtime-founders,0.267
26/12/2021 01:40,slotienft,0.435
26/12/2021 01:40,billionairezombiesclub,0.074999
26/12/2021 01:40,boredapeyachtclub,55.95
26/12/2021 01:40,adidasoriginals,0.74
26/12/2021 01:40,veefriends,9.0
26/12/2021 01:40,derace-ticket,2.74
26/12/2021 01:40,zed-run-official,0.0097
26/12/2021 01:40,derace-horses,0.795
27/12/2021 03:00,bigtime-founders,0.267
26/12/2021 01:50,slotienft,0.43
26/12/2021 01:50,billionairezombiesclub,0.074999
26/12/2021 01:50,boredapeyachtclub,55.95
26/12/2021 01:50,adidasoriginals,0.7399
26/12/2021 01:50,veefriends,9.0
26/12/2021 01:50,derace-ticket,2.74
26/12/2021 01:50,zed-run-official,0.0097
26/12/2021 01:50,derace-horses,0.795
27/12/2021 03:10,bigtime-founders,0.267
26/12/2021 02:00,slotienft,0.43
26/12/2021 02:00,billionairezombiesclub,0.074999
26/12/2021 02:00,boredapeyachtclub,55.95
26/12/2021 02:00,adidasoriginals,0.74
26/12/2021 02:00,veefriends,9.0
26/12/2021 02:00,derace-ticket,2.74
26/12/2021 02:00,zed-run-official,0.00979
26/12/2021 02:00,derace-horses,0.795
27/12/2021 03:20,bigtime-founders,0.267
26/12/2021 02:10,slotienft,0.43
